"73","UST QUADRICENTENNIAL          ","STALL #2 G/F & MEZZANINE           ","MANILA              ","11102014","03152015","","","",""
"74","ONE SAN MIGUEL                ","L/G ONE SAN MIGUEL AVE. BLDG.     ","PASIG CITY          ","08292014","0","","","",""
"75","CALIFORNIA GARDEN SQUARE      ","G/F CLUSTER DAYTON R55=R5          ","MANDALUYONG CITY    ","12032014","0","","","",""
"76","FILIPINO BLDG.                ","G/F FILIPINO BLDG. DELA ROSA ST.   ","MAKATI CITY         ","09182014","0","","","",""
"77","W FIFTH AVENUE                ","LOWER GFW FIFTH AVE 5THAVE.CORNER","TAGUIG CITY         ","04302015","0","","","",""
"79","ETON CENTRIS                  ","G/F ETON CENTRIS STATIONEDSA COR. ","QUEZON CITY         ","10102014","0","","","",""
"80","SOLENAD 3                     ","UNIT GFF GF SOLENAD 3            ","LAGUNA              ","05292015","0","","","",""
"81","DIAMOND ARCADE                ","G/F DIAMOND ARCADE AURORA BLVD.   ","QUEZON CITY         ","09252014","0","","","",""
"82","ONE ARCHERS PLACE             ","ONE ARCHERS F.REYES ST. NEAR CORNER","MANILA              ","10222014","05162015","","","",""
"83","AYALA TRIANGLE GARDEN         ","G/F AYALA TRIANGLE GARDEN          ","MAKATI CITY         ","08152014","0","","","",""
"84","ETON CYBER POD                ","GF ETON CYBERPOD ORTIGAS AVE.     ","QUEZON CITY         ","10032014","0","","","",""
"85","MAKATI SKYLAND                ","GF MAKATI SKYLAND BUENDIA AVE.     ","MAKATI CITY         ","10282014","0","","","",""
"86","UP TECHNOHUB BUILDING O       ","G/F UP TECHO HUB BLDG. N CENTRAL   ","QUEZON CITY         ","12042014","0","","","",""
"78","CAP BUILDING                  ","G/F CAP BUILDING AMORSOLO CORNER  ","MAKATI CITY         ","10292014","0","","","",""
"33","SOMERSET MILLENIUM HOTEL      ","G/F SOMERSET MILLENIUM HOTEL       ","MAKATI CITY         ","11182014","0","","","",""
"87","BOCOBO COMMERCIAL CENTER      ","G/F BOCOBO COMMERCIAL BLDG. PADRE ","MANILA              ","11272014","0","","","",""
"89","FORT VICTORIA CONDOMINIUM     ","G/F FORT VICTORIA 5TH AVE. COR.   ","TAGUIG CITY         ","10302014","0","","","",""
"90","TUNE HOTEL ASEANA             ","G/F RETAIL 1 TUNE HOTEL BRADCO AVE.","PARAÑAQUE CITY      ","11142014","08052015","","","",""
"91","AVIDA SAN LORENZO             ","G/F RETAIL SPACE 2-4 AVIDA TOWERS ","MAKATI CITY         ","12012014","0","","","",""
"92","INFINITY TOWER                ","INFINITY TOWER 106 HV DELA COSTA ","MAKATI CITY         ","04152015","0","","","",""
"93","AVIDA NEW MANILA              ","B. SERRANO AVE. BRGY. BAGONG      ","QUEZON CITY         ","06242015","0","","","",""
"94","CROSSROAD CENTER              ","G/F CROSSROAD BLDG MOTHER IGNACIA ","QUEZON CITY         ","12112014","0","","","",""
"96","DEL ROSARIO LAW BUILDING      ","DEL ROSARIO LAW BUILDING 20TH COR ","TAGUIG CITY         ","12162014","07292015","","","",""
"97","OCEANAIRE                     ","G/F UNIT 106 & 107 OCEANAIRE      ","PASAY CITY          ","02052015","0","","","",""
"98","MCKINLEY EXCHANGE CORP CENTER ","RETAIL 3MCKINLEY EXCHANGE CORP.   ","MAKATI CITY         ","12152014","0","","","",""
